device, waktu, accx, accY, accZ
6150, 23:25:45,-7947,867,194
6151, 23:25:45,-7976,870,178
6152, 23:25:45,-7950,872,208
6153, 23:25:45,-7964,890,213
6154, 23:25:45,-7954,880,255
6155, 23:25:45,-7944,877,174
6156, 23:25:45,-7970,908,185
6157, 23:25:45,-7959,903,217
6158, 23:25:45,-7946,877,203
6159, 23:25:45,-7926,899,228
6160, 23:25:45,-7977,887,213
6161, 23:25:45,-7965,848,201
6162, 23:25:45,-7967,849,225
6163, 23:25:45,-7956,872,205
6164, 23:25:45,-7968,888,195
6165, 23:25:45,-7978,867,253
6166, 23:25:45,-7957,901,209
6167, 23:25:45,-7976,875,235
6168, 23:25:45,-7946,882,194
6169, 23:25:46,-7956,886,189
6170, 23:25:46,-7976,871,179
6171, 23:25:46,-7952,883,175
6172, 23:25:46,-7957,872,217
6173, 23:25:46,-7984,896,178
6174, 23:25:46,-7996,874,195
6175, 23:25:46,-7958,860,202
6176, 23:25:46,-8001,886,214
6177, 23:25:46,-7950,877,259
6178, 23:25:46,-7978,850,241
6179, 23:25:46,-7977,871,220
6180, 23:25:46,-7947,873,273
6181, 23:25:46,-7968,856,232
6182, 23:25:46,-7975,842,261
6183, 23:25:46,-7938,894,244
6184, 23:25:46,-7954,848,257
6185, 23:25:46,-7966,887,245
6186, 23:25:46,-7963,869,296
6187, 23:25:47,-7966,876,267
6188, 23:25:47,-7967,864,268
6189, 23:25:47,-7929,878,239
6190, 23:25:47,-7970,874,249
6191, 23:25:47,-7986,884,241
6192, 23:25:47,-7973,867,231
6193, 23:25:47,-7967,861,236
6194, 23:25:47,-7968,863,265
6195, 23:25:47,-7949,867,248
6196, 23:25:47,-7975,889,259
6197, 23:25:47,-7935,869,246
6198, 23:25:47,-7946,888,191
6199, 23:25:47,-7947,855,246
6200, 23:25:47,-7961,881,210
6201, 23:25:47,-7945,891,202
6202, 23:25:47,-7975,886,228
6203, 23:25:47,-7963,902,230
6204, 23:25:47,-7989,877,214
6205, 23:25:47,-7977,870,219
6206, 23:25:47,-7866,883,143
6207, 23:25:47,-7968,900,129
6208, 23:25:47,-7960,937,249
6209, 23:25:47,-7961,941,232
6210, 23:25:47,-7932,908,213
6211, 23:25:47,-7955,942,232
6212, 23:25:47,-7969,938,178
6213, 23:25:47,-7960,909,202
6214, 23:25:47,-7956,889,166
6215, 23:25:47,-7995,934,231
6216, 23:25:47,-7936,890,190
6217, 23:25:47,-7942,896,159
6218, 23:25:47,-7959,887,174
6219, 23:25:47,-7966,915,166
6220, 23:25:47,-7934,888,183
6221, 23:25:47,-7966,914,168
6222, 23:25:47,-7966,874,199
6223, 23:25:48,-7963,893,153
6224, 23:25:48,-7979,883,144
6225, 23:25:48,-7959,865,166
6226, 23:25:48,-7968,873,169
6227, 23:25:48,-7958,883,145
6228, 23:25:48,-7945,868,174
6229, 23:25:48,-7976,882,124
6230, 23:25:48,-7990,852,155
6231, 23:25:48,-7947,884,169
6232, 23:25:48,-7975,854,133
6233, 23:25:48,-7960,827,127
6234, 23:25:48,-7985,851,128
6235, 23:25:48,-7981,869,151
6236, 23:25:48,-7963,889,150
6237, 23:25:48,-7997,901,141
6238, 23:25:48,-7952,881,127
6239, 23:25:48,-7983,844,140
6240, 23:25:48,-7966,865,128
6241, 23:25:48,-7963,872,145
6242, 23:25:48,-7961,883,152
6243, 23:25:48,-7975,897,179
6244, 23:25:48,-7959,890,127
6245, 23:25:48,-7984,892,157
6246, 23:25:48,-7968,878,156
6247, 23:25:48,-7988,896,125
6248, 23:25:48,-7952,913,158
6249, 23:25:48,-7971,906,171
6250, 23:25:48,-7993,904,140
6251, 23:25:48,-7963,895,182
6252, 23:25:48,-7947,905,226
6253, 23:25:48,-8004,904,154
6254, 23:25:48,-7949,874,163
6255, 23:25:48,-7963,884,155
6256, 23:25:48,-7991,894,175
6257, 23:25:48,-7961,895,156
6258, 23:25:48,-7968,892,204
6259, 23:25:48,-7962,879,215
6260, 23:25:48,-7955,896,226
6261, 23:25:49,-7959,897,193
6262, 23:25:49,-7966,878,173
6263, 23:25:49,-7964,880,215
6264, 23:25:49,-7987,884,194
