  device , waktu, accx, accY, accZ
295, 23:03:27,-8039,-837,538
296, 23:03:27,-8100,-824,668
297, 23:03:27,-7971,-811,561
298, 23:03:27,-8020,-840,669
299, 23:03:27,-8168,-838,799
300, 23:03:27,-8074,-830,645
301, 23:03:27,-7914,-778,584
302, 23:03:27,-7870,-780,451
303, 23:03:27,-7923,-787,521
304, 23:03:27,-8024,-741,794
305, 23:03:27,-7981,-712,641
306, 23:03:27,-7910,-792,696
307, 23:03:27,-7994,-687,813
308, 23:03:28,-7888,-778,590
309, 23:03:28,-8018,-808,685
310, 23:03:28,-7921,-804,665
311, 23:03:28,-7938,-770,648
312, 23:03:28,-8034,-752,811
313, 23:03:28,-7966,-741,796
314, 23:03:28,-7981,-731,718
315, 23:03:28,-8156,-680,802
316, 23:03:28,-7864,-728,556
317, 23:03:28,-7885,-717,714
318, 23:03:28,-7823,-706,778
319, 23:03:28,-8051,-726,783
320, 23:03:28,-8164,-740,936
321, 23:03:28,-7935,-719,784
322, 23:03:28,-8005,-741,745
323, 23:03:28,-8048,-704,735
324, 23:03:28,-7991,-656,856
325, 23:03:28,-8102,-728,776
326, 23:03:28,-7872,-734,582
327, 23:03:28,-7904,-711,664
328, 23:03:28,-8036,-721,654
329, 23:03:28,-7984,-654,769
330, 23:03:28,-7967,-705,705
331, 23:03:28,-8079,-807,658
332, 23:03:28,-8142,-792,815
333, 23:03:28,-8066,-704,724
334, 23:03:28,-7999,-754,571
335, 23:03:29,-7860,-861,590
336, 23:03:29,-7863,-826,713
337, 23:03:29,-7851,-716,790
338, 23:03:29,-8051,-737,667
339, 23:03:29,-7953,-744,795
340, 23:03:29,-7927,-782,723
341, 23:03:29,-8012,-738,667
342, 23:03:29,-8047,-743,798
343, 23:03:29,-7959,-777,675
344, 23:03:29,-7878,-829,752
345, 23:03:29,-7978,-814,739
346, 23:03:29,-7974,-777,709
347, 23:03:29,-7968,-763,718
348, 23:03:29,-8027,-792,779
349, 23:03:29,-7976,-775,813
350, 23:03:29,-7959,-786,842
351, 23:03:29,-8007,-817,811
352, 23:03:29,-8030,-783,721
353, 23:03:29,-7866,-717,810
354, 23:03:29,-7982,-828,830
355, 23:03:29,-8005,-861,728
356, 23:03:29,-7946,-801,774
357, 23:03:29,-7968,-826,777
358, 23:03:29,-7967,-770,733
359, 23:03:29,-8024,-784,742
360, 23:03:29,-7922,-776,798
361, 23:03:29,-7947,-824,698
362, 23:03:29,-8032,-819,791
363, 23:03:29,-7966,-820,752
364, 23:03:29,-7940,-803,688
365, 23:03:29,-7965,-873,659
366, 23:03:29,-8004,-895,734
367, 23:03:29,-7982,-801,743
368, 23:03:29,-8008,-780,705
369, 23:03:29,-8002,-797,599
370, 23:03:29,-7867,-721,597
371, 23:03:29,-7968,-777,646
372, 23:03:29,-8051,-864,631
373, 23:03:29,-8026,-810,667
374, 23:03:29,-8013,-842,658
375, 23:03:30,-7871,-856,577
