 device, waktu, accx, accY, accZ
2134, 22:57:44,-7554,-221,2761
2135, 22:57:44,-7650,-210,2765
2136, 22:57:44,-7678,-209,2728
2137, 22:57:44,-7679,-180,2708
2138, 22:57:44,-7720,-178,2728
2139, 22:57:44,-7767,-221,2721
2140, 22:57:44,-7734,-227,2800
2141, 22:57:44,-7685,-233,2761
2142, 22:57:44,-7699,-218,2722
2143, 22:57:44,-7715,-182,2729
2144, 22:57:44,-7696,-147,2819
2145, 22:57:44,-7656,-149,2746
2146, 22:57:44,-7685,-203,2738
2147, 22:57:44,-7763,-164,2753
2148, 22:57:44,-7771,-165,2748
2149, 22:57:44,-7786,-141,2719
2150, 22:57:44,-7701,-155,2714
2151, 22:57:44,-7730,-197,2726
2152, 22:57:44,-7671,-187,2741
2153, 22:57:44,-7720,-183,2725
2154, 22:57:44,-7724,-182,2802
2155, 22:57:44,-7736,-235,2733
2156, 22:57:44,-7671,-183,2721
2157, 22:57:44,-7690,-229,2760
2158, 22:57:44,-7738,-200,2672
2159, 22:57:44,-7767,-151,2687
2160, 22:57:44,-7782,-188,2730
2161, 22:57:45,-7755,-154,2806
2162, 22:57:45,-7776,-128,2797
2163, 22:57:45,-7732,-149,2780
2164, 22:57:45,-7711,-101,2652
2165, 22:57:45,-7763,-128,2792
2166, 22:57:45,-7696,-259,2904
2167, 22:57:45,-7819,-130,2847
2168, 22:57:45,-7651,-216,2807
2169, 22:57:45,-7821,-61,2757
2170, 22:57:45,-7829,-47,2782
2171, 22:57:45,-7657,-58,2852
2172, 22:57:45,-7568,-194,2647
2173, 22:57:45,-7314,-296,2871
2174, 22:57:45,-7465,-870,2903
2175, 22:57:45,-7170,-1288,3005
2176, 22:57:45,-7019,-1047,3010
2177, 22:57:45,-7300,-313,2875
2178, 22:57:45,-7868,741,3097
2179, 22:57:45,-8192,-417,3070
2180, 22:57:45,-7507,-68,3178
2181, 22:57:45,-7553,-430,2845
2182, 22:57:45,-7837,-587,2481
2183, 22:57:45,-8192,-158,2938
2184, 22:57:45,-7959,326,2647
2185, 22:57:45,-7631,328,2714
2186, 22:57:45,-7380,-127,2786
2187, 22:57:45,-7342,-309,2697
2188, 22:57:45,-7603,-360,2789
2189, 22:57:46,-7943,-50,2610
2190, 22:57:46,-8145,106,2494
2191, 22:57:46,-7945,-89,2659
2192, 22:57:46,-7414,-204,2638
2193, 22:57:46,-7422,234,2865
2194, 22:57:46,-7758,114,2727
2195, 22:57:46,-8192,-490,2375
2196, 22:57:46,-7836,-636,2646
2197, 22:57:46,-7541,-341,2883
2198, 22:57:46,-7443,-195,2891
2199, 22:57:46,-7767,-33,2667
2200, 22:57:46,-7708,16,2548
2201, 22:57:46,-7587,-131,2670
2202, 22:57:46,-7610,-358,2943
2203, 22:57:46,-7649,10,2928
2204, 22:57:46,-7938,-327,2708
2205, 22:57:46,-7708,-301,2610
2206, 22:57:46,-8004,-985,2773
2207, 22:57:46,-7829,-1500,2449
2208, 22:57:46,-7661,403,2866
2209, 22:57:46,-7497,-306,2588
2210, 22:57:46,-7799,361,2831
2211, 22:57:46,-7433,443,2907
