No, id_percobaan, id_pasien, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch
546,3,2, 2018-07-09 08:35:44,-8192,1679,-3668,-704,1112,-2487,-55.01,-24.66
547,3,2, 2018-07-09 08:35:44,-8192,-586,-734,-3959,5337,-271,-55.5,-24.85
548,3,2, 2018-07-09 08:35:44,-6708,-1226,1593,-3566,5357,1316,-55.84,-25.04
549,3,2, 2018-07-09 08:35:44,-5557,-180,964,-3310,3113,2362,-56.03,-25.19
550,3,2, 2018-07-09 08:35:44,-5891,902,142,-4989,945,1791,-56.1,-25.41
551,3,2, 2018-07-09 08:35:44,-7359,500,-719,-6054,1212,470,-56.15,-25.7
552,3,2, 2018-07-09 08:35:44,-6776,1554,145,-5883,200,438,-56.21,-26.13
553,3,2, 2018-07-09 08:35:44,-7409,1785,-975,-5697,2215,308,-56.33,-26.41
554,3,2, 2018-07-09 08:35:44,-7457,2180,-1511,-5225,1723,-661,-56.53,-26.63
555,3,2, 2018-07-09 08:35:44,-7025,2136,-1462,-2869,-330,-1072,-56.52,-26.74
556,3,2, 2018-07-09 08:35:44,-6691,1800,-1158,-2274,-4056,-96,-56.33,-26.79
557,3,2, 2018-07-09 08:35:44,-7376,748,-1902,-2397,-4183,-1337,-56.08,-26.88
558,3,2, 2018-07-09 08:35:44,-8192,1217,-1930,-3597,-1954,-1001,-55.99,-27
559,3,2, 2018-07-09 08:35:44,-8192,1062,-2054,-3898,648,-354,-56.07,-27.19
560,3,2, 2018-07-09 08:35:44,-8192,2305,-1611,-411,1602,483,-56.23,-27.17
561,3,2, 2018-07-09 08:35:44,-8124,2986,-2776,-915,2456,384,-56.42,-27.1
562,3,2, 2018-07-09 08:35:44,-8177,970,-3133,-2512,3247,-113,-56.65,-27.18
563,3,2, 2018-07-09 08:35:44,-8192,686,-181,-6347,-5003,2104,-56.63,-27.55
564,3,2, 2018-07-09 08:35:45,-8192,3321,-230,1961,-1456,5254,-56.52,-27.45
565,3,2, 2018-07-09 08:35:45,-8192,1980,2830,60,-410,4424,-56.53,-27.32
566,3,2, 2018-07-09 08:35:45,-7090,-1145,4370,-4313,5664,-152,-56.85,-27.47
567,3,2, 2018-07-09 08:35:45,-6874,-2616,2355,-7313,1352,-3213,-57.01,-27.87
568,3,2, 2018-07-09 08:35:45,-8192,-512,-2340,-4316,2119,3383,-57.13,-28.15
569,3,2, 2018-07-09 08:35:45,-8192,4163,-519,2569,-2574,266,-57.12,-27.95
570,3,2, 2018-07-09 08:35:45,-6818,4490,486,2044,-5376,-1995,-56.8,-27.68
571,3,2, 2018-07-09 08:35:45,-5827,2514,910,3921,273,-4375,-56.78,-27.37
572,3,2, 2018-07-09 08:35:45,-5962,-282,155,2405,513,-3788,-56.79,-26.97
573,3,2, 2018-07-09 08:35:45,-6641,-260,-933,2358,-4965,-2097,-56.5,-26.79
574,3,2, 2018-07-09 08:35:45,-6975,719,-514,3831,-2771,-1415,-56.31,-26.51
575,3,2, 2018-07-09 08:35:45,-7395,480,-536,2899,-1096,-1620,-56.24,-26.25
576,3,2, 2018-07-09 08:35:45,-7219,-404,-911,1197,-609,-1837,-56.22,-26.11
577,3,2, 2018-07-09 08:35:45,-6643,-379,-1015,89,-879,-1304,-56.17,-26.04
578,3,2, 2018-07-09 08:35:45,-6599,202,-697,-1241,-2348,-756,-56.03,-26.05
579,3,2, 2018-07-09 08:35:45,-7320,451,-1307,-1203,-1872,-377,-55.92,-26.07
580,3,2, 2018-07-09 08:35:45,-8192,868,-1703,1231,-936,116,-55.9,-25.98
581,3,2, 2018-07-09 08:35:45,-8192,1628,-1183,2325,52,746,-55.96,-25.76
582,3,2, 2018-07-09 08:35:45,-8192,418,-1009,6,612,1039,-56.06,-25.66
583,3,2, 2018-07-09 08:35:45,-8192,-896,-1595,-523,806,287,-56.18,-25.66
584,3,2, 2018-07-09 08:35:45,-8192,1755,-3676,611,781,633,-56.3,-25.52
585,3,2, 2018-07-09 08:35:45,-8192,1529,-2228,662,1500,702,-56.48,-25.41
586,3,2, 2018-07-09 08:35:45,-8192,445,-770,3609,-7226,-1592,-56.22,-25.16
587,3,2, 2018-07-09 08:35:45,-8192,-315,873,-1426,878,-2498,-56.19,-25.15
588,3,2, 2018-07-09 08:35:45,-7673,277,2051,-408,2452,-955,-56.42,-25.15
589,3,2, 2018-07-09 08:35:45,-3724,2196,2156,4608,1311,1438,-56.51,-24.76
590,3,2, 2018-07-09 08:35:45,-4476,1086,2971,5201,-2260,2021,-56.38,-24.36
591,3,2, 2018-07-09 08:35:45,-8192,46,1536,1865,-6704,-185,-56.04,-24.15
592,3,2, 2018-07-09 08:35:45,-8192,172,-894,-3624,11891,-1666,-56.66,-24.24
593,3,2, 2018-07-09 08:35:45,-7339,-55,669,-2439,4725,1446,-57.16,-24.48
594,3,2, 2018-07-09 08:35:45,-5793,549,421,-736,2231,3067,-57.31,-24.49
595,3,2, 2018-07-09 08:35:45,-5837,1505,-56,-1473,-707,2501,-57.28,-24.49
596,3,2, 2018-07-09 08:35:45,-5927,1610,449,-2329,-2240,2224,-57.13,-24.54
597,3,2, 2018-07-09 08:35:45,-7419,787,-287,-3732,-951,1574,-57.06,-24.72
598,3,2, 2018-07-09 08:35:45,-7445,1282,-493,-2830,328,1075,-57.08,-24.83
599,3,2, 2018-07-09 08:35:45,-7350,1397,-833,-1690,1577,-32,-57.18,-24.88
600,3,2, 2018-07-09 08:35:45,-6825,1584,-394,-1626,1287,-914,-57.27,-24.9
601,3,2, 2018-07-09 08:35:45,-7136,1576,-823,-1745,-3438,-8,-57.08,-24.93
602,3,2, 2018-07-09 08:35:45,-8192,1407,-1774,-1769,-3159,-392,-56.92,-24.97
603,3,2, 2018-07-09 08:35:45,-8192,1084,-1873,-1288,-1019,-1366,-56.9,-24.99
604,3,2, 2018-07-09 08:35:45,-8192,1575,-2199,-1117,422,-741,-56.97,-24.99
605,3,2, 2018-07-09 08:35:46,-8192,1709,-2027,-1592,1026,181,-57.09,-25.01
606,3,2, 2018-07-09 08:35:46,-7984,2375,-2026,-1455,1575,966,-57.24,-25.02
607,3,2, 2018-07-09 08:35:46,-8192,1786,-1652,-2747,2163,723,-57.43,-25.08
608,3,2, 2018-07-09 08:35:46,-8192,1916,-1187,-3256,-1586,2075,-57.43,-25.21
609,3,2, 2018-07-09 08:35:46,-8192,3422,196,4283,-3810,6423,-57.32,-24.94
610,3,2, 2018-07-09 08:35:46,-8192,1244,1764,4202,-3272,5381,-57.15,-24.57
611,3,2, 2018-07-09 08:35:46,-6503,-1347,4181,-1304,4863,-183,-57.39,-24.52
612,3,2, 2018-07-09 08:35:46,-5086,-1992,2455,-6253,3689,-4623,-57.62,-24.84
613,3,2, 2018-07-09 08:35:46,-5645,-344,-1127,-2774,4666,1456,-57.8,-25.04
614,3,2, 2018-07-09 08:35:46,-8192,3171,-2272,-555,-3687,-44,-57.75,-25.05
615,3,2, 2018-07-09 08:35:46,-8192,2550,143,2825,-3741,-763,-57.61,-24.81
616,3,2, 2018-07-09 08:35:46,-6456,1443,1134,1706,-1865,-2652,-57.44,-24.62
617,3,2, 2018-07-09 08:35:46,-5900,734,813,1805,1223,-3481,-57.49,-24.45
618,3,2, 2018-07-09 08:35:46,-6517,753,-1106,2140,4092,-3134,-57.68,-24.28
619,3,2, 2018-07-09 08:35:46,-6434,982,-666,4103,-2651,-1907,-57.57,-24.02
620,3,2, 2018-07-09 08:35:46,-6906,842,-104,3743,-2457,-1535,-57.24,-23.59
621,3,2, 2018-07-09 08:35:46,-7476,-138,-409,2536,1589,-1186,-57.33,-23.23
622,3,2, 2018-07-09 08:35:46,-7396,-354,-580,2230,-1520,-182,-57.26,-23.05
623,3,2, 2018-07-09 08:35:46,-6600,165,-848,1682,-1964,-506,-57.13,-22.9
624,3,2, 2018-07-09 08:35:46,-7321,155,-1255,1415,-2299,-240,-57,-22.76
625,3,2, 2018-07-09 08:35:46,-8192,36,-1548,1186,-1001,255,-56.97,-22.63
626,3,2, 2018-07-09 08:35:46,-8179,450,-993,760,-813,1031,-57,-22.46
627,3,2, 2018-07-09 08:35:46,-7755,-452,-1388,-1366,-1208,881,-56.96,-22.47
628,3,2, 2018-07-09 08:35:46,-8192,-1010,-2098,-1722,-1577,574,-56.93,-22.56
629,3,2, 2018-07-09 08:35:46,-8192,874,-2786,145,-1053,619,-56.93,-22.53
630,3,2, 2018-07-09 08:35:46,-8192,2173,-1617,805,150,1400,-56.99,-22.33
631,3,2, 2018-07-09 08:35:46,-8192,515,-221,3668,-5673,-1798,-56.8,-22.08
632,3,2, 2018-07-09 08:35:46,-8192,-1492,1218,-2950,881,-2906,-56.81,-22.16
633,3,2, 2018-07-09 08:35:46,-7935,-1417,3194,-3315,2800,-3065,-57.05,-22.35
634,3,2, 2018-07-09 08:35:46,-4056,1605,1829,-993,140,1381,-57.02,-22.39
635,3,2, 2018-07-09 08:35:46,-5190,2370,1233,-853,-1758,695,-56.89,-22.36
636,3,2, 2018-07-09 08:35:46,-8192,1135,109,-2772,2047,-875,-56.99,-22.42
637,3,2, 2018-07-09 08:35:46,-8192,144,-479,-6201,5339,-1920,-57.37,-22.72
638,3,2, 2018-07-09 08:35:46,-8192,-437,210,-4903,4695,205,-57.75,-23.01
639,3,2, 2018-07-09 08:35:46,-6082,-332,838,-3588,2652,2570,-57.93,-23.2
640,3,2, 2018-07-09 08:35:46,-5711,794,22,-4061,1675,3001,-58.02,-23.38
641,3,2, 2018-07-09 08:35:46,-6045,1743,-565,-4318,1256,1808,-58.07,-23.57
642,3,2, 2018-07-09 08:35:46,-7101,1242,-461,-5371,406,994,-58.11,-23.82
643,3,2, 2018-07-09 08:35:47,-7402,1389,-379,-4916,359,975,-58.13,-24.06
644,3,2, 2018-07-09 08:35:47,-7311,921,-803,-3500,2780,232,-58.36,-24.32
645,3,2, 2018-07-09 08:35:47,-6718,1589,-977,-3288,2475,-506,-58.51,-24.46
646,3,2, 2018-07-09 08:35:47,-6820,1560,-1052,-3031,-1334,-964,-58.44,-24.58
647,3,2, 2018-07-09 08:35:47,-7167,1515,-950,-3642,-2619,-1619,-58.3,-24.72
648,3,2, 2018-07-09 08:35:47,-8192,1865,-1836,-2510,-2306,-1044,-58.19,-24.82
649,3,2, 2018-07-09 08:35:47,-8192,1600,-1987,-1664,-744,-20,-58.18,-24.86
650,3,2, 2018-07-09 08:35:47,-8192,1711,-2009,-1445,967,56,-58.28,-24.87
651,3,2, 2018-07-09 08:35:47,-8054,1718,-1987,-1496,965,-385,-58.4,-24.89
652,3,2, 2018-07-09 08:35:47,-7955,1798,-2075,-1476,615,-144,-58.47,-24.91
653,3,2, 2018-07-09 08:35:47,-8192,2216,-506,-1592,-1708,1554,-58.48,-24.92
654,3,2, 2018-07-09 08:35:47,-8192,2721,-1835,2313,-1140,4797,-58.4,-24.8
655,3,2, 2018-07-09 08:35:47,-8192,2113,1262,5607,-2793,5942,-58.31,-24.12
656,3,2, 2018-07-09 08:35:47,-6607,-710,3370,-721,2127,-2,-58.37,-24.03
657,3,2, 2018-07-09 08:35:47,-5245,-2315,3172,-6387,2574,-5382,-58.51,-24.34
658,3,2, 2018-07-09 08:35:47,-5539,-1519,315,-5657,-1260,-1977,-58.43,-24.71
659,3,2, 2018-07-09 08:35:47,-8192,4458,-2677,1727,-3006,752,-58.79,-24.6
660,3,2, 2018-07-09 08:35:47,-7498,3515,106,3104,-2655,-1757,-58.58,-24.09
661,3,2, 2018-07-09 08:35:47,-5760,763,689,2647,1990,-4285,-58.66,-23.76
662,3,2, 2018-07-09 08:35:47,-6193,-138,-709,3261,3639,-3576,-58.84,-23.53
663,3,2, 2018-07-09 08:35:47,-6408,-385,-575,4231,-3442,-1567,-58.65,-23.27
664,3,2, 2018-07-09 08:35:47,-7232,987,-431,5016,-2492,-1201,-58.46,-22.91
665,3,2, 2018-07-09 08:35:47,-7664,-76,-627,3727,717,-1492,-58.53,-22.44
666,3,2, 2018-07-09 08:35:47,-6907,-744,-335,2274,361,-890,-58.57,-22.25
667,3,2, 2018-07-09 08:35:47,-6042,-1127,-262,-404,-1248,-239,-58.49,-22.21
668,3,2, 2018-07-09 08:35:47,-6740,-248,-1320,620,-3570,-304,-58.29,-22.16
669,3,2, 2018-07-09 08:35:47,-8192,878,-1691,593,-3467,59,-58.11,-22.05
670,3,2, 2018-07-09 08:35:47,-8192,843,-1109,-336,-1409,203,-58.07,-22.01
671,3,2, 2018-07-09 08:35:47,-7585,-464,-1227,-1242,-152,273,-58.06,-22.03
672,3,2, 2018-07-09 08:35:47,-8192,-987,-899,-1732,-176,248,-58.12,-22.11
673,3,2, 2018-07-09 08:35:47,-8192,655,-3136,-710,-425,568,-58.14,-22.12
674,3,2, 2018-07-09 08:35:47,-8192,2278,-2419,-281,1483,812,-58.3,-22.08
675,3,2, 2018-07-09 08:35:47,-8192,2635,-1512,2124,-992,-417,-58.35,-21.9
676,3,2, 2018-07-09 08:35:47,-8192,209,70,-12,-2287,-3633,-58.26,-21.78
677,3,2, 2018-07-09 08:35:47,-8192,-1669,1172,-1157,-666,-2276,-58.27,-21.83
678,3,2, 2018-07-09 08:35:47,-6143,57,2616,-204,1097,-1094,-58.29,-21.82
